GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SchemaSpy,org.schemaspy.input.dbms,ConnectionURLBuilder,61,169,8,12,9,36,7,9,0,6
SchemaSpy,org.schemaspy.input.dbms,DbDriverLoader,392,252,45,23,80,55,36,13,7,8
SchemaSpy,org.schemaspy.input.dbms,CatalogResolver,10,33,1,3,3,12,1,4,0,3
SchemaSpy,org.schemaspy.input.dbms,SchemaResolver,27,16,3,1,9,6,2,3,0,3
SchemaSpy,org.schemaspy.logging,StackTraceOmitter,5,47,1,3,2,12,2,6,1,5
SchemaSpy,org.schemaspy.output.diagram.graphviz,GraphvizVersion,27,92,8,8,7,23,7,6,1,4
SchemaSpy,org.schemaspy.output.diagram.graphviz,GraphvizDot.ProcessOutputReader,5,50,2,4,2,12,2,4,0,3
SchemaSpy,org.schemaspy.output.diagram.graphviz,GraphvizDot,140,424,20,30,24,84,17,21,0,13
SchemaSpy,org.schemaspy.model,TableColumn.ColumnComparator,0,22,0,2,0,5,0,3,0,2
SchemaSpy,org.schemaspy.model,DbmsMeta,0,55,0,0,0,15,0,9,0,9
SchemaSpy,org.schemaspy.model,Table,218,602,33,75,50,134,26,82,8,46
SchemaSpy,org.schemaspy.model,ImpliedForeignKeyConstraint,0,54,0,0,0,14,0,4,0,4
SchemaSpy,org.schemaspy.model,TableIndex,94,191,23,27,18,51,16,25,2,14
SchemaSpy,org.schemaspy.model,LogicalRemoteTable,2,6,0,0,1,2,1,1,1,1
SchemaSpy,org.schemaspy.model,RemoteTable,11,19,0,0,3,8,1,3,1,3
SchemaSpy,org.schemaspy.model,View,0,26,1,3,0,8,1,5,0,4
SchemaSpy,org.schemaspy.model,DbmsMeta.Builder,0,68,0,0,0,19,0,10,0,10
SchemaSpy,org.schemaspy.model,Sequence,24,21,4,0,6,8,3,4,1,4
SchemaSpy,org.schemaspy.model,DatabaseObject,22,85,2,6,7,20,7,8,5,6
SchemaSpy,org.schemaspy.model,ConsoleProgressListener,30,256,5,17,6,62,5,18,1,11
SchemaSpy,org.schemaspy.model,RoutineParameter,0,21,0,0,0,8,0,4,0,4
SchemaSpy,org.schemaspy.model,LogicalTable,10,0,0,0,3,0,2,0,2,0
SchemaSpy,org.schemaspy.model,ForeignKeyConstraint,140,219,43,11,35,57,36,20,6,20
SchemaSpy,org.schemaspy.model,CombinedMap,98,19,13,1,16,7,19,2,12,2
SchemaSpy,org.schemaspy.model,Schema,25,29,2,0,6,11,5,5,4,5
SchemaSpy,org.schemaspy.model,TableColumn,77,460,8,38,16,116,9,65,3,48
SchemaSpy,org.schemaspy.model,EmptySchemaException,3,0,0,0,2,0,1,0,1,0
SchemaSpy,org.schemaspy.model,RailsForeignKeyConstraint,7,0,0,0,3,0,2,0,2,0
SchemaSpy,org.schemaspy.model,Database,0,136,0,0,0,31,0,19,0,19
SchemaSpy,org.schemaspy.model,Table.ByColumnIdComparator,6,33,2,6,1,7,2,4,0,2
SchemaSpy,org.schemaspy.model,Routine,34,81,6,2,8,25,4,14,1,13
SchemaSpy,org.schemaspy.model,Catalog,25,26,2,0,6,10,5,5,4,5
SchemaSpy,org.schemaspy.model,InvalidConfigurationException,14,27,1,1,4,10,3,5,2,5
SchemaSpy,org.schemaspy.output.xml,XmlProducerException,5,0,0,0,2,0,1,0,1,0
SchemaSpy,org.schemaspy.output.xml.dom,XmlIndexFormatter,8,81,2,4,1,18,2,5,0,4
SchemaSpy,org.schemaspy.output.xml.dom,DOMUtil,0,16,0,2,0,5,0,2,0,1
SchemaSpy,org.schemaspy.output.xml.dom,XmlSequenceFormatter,52,16,3,1,11,5,3,2,1,2
SchemaSpy,org.schemaspy.output.xml.dom,XmlColumnFormatter,54,218,5,13,7,46,5,11,1,6
SchemaSpy,org.schemaspy.output.xml.dom,XmlTableFormatter,6,208,4,14,1,50,4,14,0,9
SchemaSpy,org.schemaspy.output.xml.dom,XmlProducerUsingDOM,26,205,2,4,8,47,2,5,0,4
SchemaSpy,org.schemaspy.output.xml.dom,XmlRoutineFormatter,0,144,2,12,0,32,2,9,0,4
SchemaSpy,org.schemaspy.input.dbms.exceptions,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
SchemaSpy,org.schemaspy.input.dbms.exceptions,RuntimeIOException,5,0,0,0,2,0,1,0,1,0
SchemaSpy,org.schemaspy.input.dbms.exceptions,ConnectionFailure,23,0,0,0,6,0,3,0,3,0
SchemaSpy,org.schemaspy.view,HtmlRoutinePage,7,50,0,0,2,16,0,3,0,3
SchemaSpy,org.schemaspy.view,MustacheCustomResolver,14,35,3,1,1,9,2,3,0,3
SchemaSpy,org.schemaspy.view,WriteStats,0,72,0,8,0,19,0,10,0,6
SchemaSpy,org.schemaspy.view,MustacheSchema,8,19,0,0,4,6,2,3,2,3
SchemaSpy,org.schemaspy.view,HtmlTablePage,7,198,1,9,2,43,1,10,0,6
