GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SchemaSpy,org.schemaspy.input.dbms,ConnectionURLBuilder,59,171,7,13,8,37,6,10,0,6
SchemaSpy,org.schemaspy.input.dbms,DbDriverLoader,50,594,13,55,11,124,13,36,0,15
SchemaSpy,org.schemaspy.input.dbms,CatalogResolver,5,38,0,4,2,13,0,5,0,3
SchemaSpy,org.schemaspy.input.dbms,SchemaResolver,5,38,0,4,2,13,0,5,0,3
SchemaSpy,org.schemaspy.logging,StackTraceOmitter,4,48,1,3,1,13,1,7,0,6
SchemaSpy,org.schemaspy.output.diagram.graphviz,GraphvizVersion,5,114,2,14,2,28,3,10,1,4
SchemaSpy,org.schemaspy.output.diagram.graphviz,GraphvizDot.ProcessOutputReader,55,0,6,0,14,0,6,0,3,0
SchemaSpy,org.schemaspy.output.diagram.graphviz,GraphvizDot,285,279,25,25,51,57,19,19,3,10
SchemaSpy,org.schemaspy.model,TableColumn.ColumnComparator,0,22,1,1,0,5,1,2,0,2
SchemaSpy,org.schemaspy.model,DbmsMeta,55,0,0,0,15,0,9,0,9,0
SchemaSpy,org.schemaspy.model,Table,205,615,44,64,49,135,38,70,10,44
SchemaSpy,org.schemaspy.model,ImpliedForeignKeyConstraint,47,7,0,0,11,3,2,2,2,2
SchemaSpy,org.schemaspy.model,TableIndex,95,190,24,26,24,45,20,21,3,13
SchemaSpy,org.schemaspy.model,LogicalRemoteTable,2,6,0,0,1,2,1,1,1,1
SchemaSpy,org.schemaspy.model,RemoteTable,0,30,0,0,0,11,0,4,0,4
SchemaSpy,org.schemaspy.model,View,26,0,4,0,8,0,6,0,4,0
SchemaSpy,org.schemaspy.model,DbmsMeta.Builder,68,0,0,0,19,0,10,0,10,0
SchemaSpy,org.schemaspy.model,Sequence,45,0,4,0,14,0,7,0,5,0
SchemaSpy,org.schemaspy.model,DatabaseObject,19,88,2,6,6,21,6,9,4,7
SchemaSpy,org.schemaspy.model,ConsoleProgressListener,274,12,22,0,63,5,22,1,11,1
SchemaSpy,org.schemaspy.model,RoutineParameter,21,0,0,0,8,0,4,0,4,0
SchemaSpy,org.schemaspy.model,LogicalTable,2,8,0,0,1,2,1,1,1,1
SchemaSpy,org.schemaspy.model,ForeignKeyConstraint,212,147,44,10,51,41,37,19,9,17
SchemaSpy,org.schemaspy.model,CombinedMap,92,25,12,2,15,8,18,3,12,2
SchemaSpy,org.schemaspy.model,Schema,13,41,0,2,4,13,3,7,3,6
SchemaSpy,org.schemaspy.model,TableColumn,245,292,36,10,48,84,26,48,5,46
SchemaSpy,org.schemaspy.model,EmptySchemaException,0,3,0,0,0,2,0,1,0,1
SchemaSpy,org.schemaspy.model,RailsForeignKeyConstraint,7,0,0,0,3,0,2,0,2,0
SchemaSpy,org.schemaspy.model,Database,49,87,0,0,10,21,10,9,10,9
SchemaSpy,org.schemaspy.model,Table.ByColumnIdComparator,22,17,7,1,3,5,4,2,0,2
SchemaSpy,org.schemaspy.model,Routine,43,72,6,2,11,22,6,12,3,11
SchemaSpy,org.schemaspy.model,Catalog,13,38,0,2,4,12,3,7,3,6
SchemaSpy,org.schemaspy.model,InvalidConfigurationException,3,38,1,1,1,13,2,6,1,6
SchemaSpy,org.schemaspy.output.xml,XmlProducerException,5,0,0,0,2,0,1,0,1,0
SchemaSpy,org.schemaspy.output.xml.dom,XmlIndexFormatter,14,75,2,4,2,17,3,4,1,3
SchemaSpy,org.schemaspy.output.xml.dom,DOMUtil,0,16,0,2,0,5,0,2,0,1
SchemaSpy,org.schemaspy.output.xml.dom,XmlSequenceFormatter,65,3,4,0,15,1,4,1,2,1
SchemaSpy,org.schemaspy.output.xml.dom,XmlColumnFormatter,66,206,8,10,9,44,8,8,1,6
SchemaSpy,org.schemaspy.output.xml.dom,XmlTableFormatter,49,165,10,8,7,44,10,8,1,8
SchemaSpy,org.schemaspy.output.xml.dom,XmlProducerUsingDOM,208,23,6,0,50,5,5,2,2,2
SchemaSpy,org.schemaspy.output.xml.dom,XmlRoutineFormatter,0,144,1,13,0,32,1,10,0,4
SchemaSpy,org.schemaspy.input.dbms.exceptions,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
SchemaSpy,org.schemaspy.input.dbms.exceptions,RuntimeIOException,5,0,0,0,2,0,1,0,1,0
SchemaSpy,org.schemaspy.input.dbms.exceptions,ConnectionFailure,4,19,0,0,2,4,1,2,1,2
SchemaSpy,org.schemaspy.view,HtmlRoutinePage,57,0,0,0,18,0,3,0,3,0
SchemaSpy,org.schemaspy.view,MustacheCustomResolver,0,49,1,3,0,10,1,4,0,3
SchemaSpy,org.schemaspy.view,WriteStats,35,37,6,2,7,12,5,5,1,5
SchemaSpy,org.schemaspy.view,MustacheSchema,11,16,0,0,5,5,3,2,3,2
SchemaSpy,org.schemaspy.view,HtmlTablePage,70,135,6,4,8,37,6,5,1,5
SchemaSpy,org.schemaspy.view,HtmlOrphansPage,5,32,0,0,2,12,0,3,0,3
SchemaSpy,org.schemaspy.view,MustacheCompiler,0,142,0,2,0,27,0,6,0,5
SchemaSpy,org.schemaspy.view,HtmlColumnsPage,200,0,2,0,47,0,11,0,10,0
SchemaSpy,org.schemaspy.view,MustacheTableColumnRelatives,49,0,2,0,12,0,7,0,6,0
SchemaSpy,org.schemaspy.view,PageData,0,26,0,0,0,8,0,5,0,5
SchemaSpy,org.schemaspy.view,HtmlRelationshipsPage,19,57,6,2,3,17,4,5,0,5
SchemaSpy,org.schemaspy.view,MustacheTableDiagram,4,59,1,1,1,24,2,16,1,16
